	board	thread_no	post_no	subject	author	email	tripcode	capcode	date	user_id	body
0	housekeeping	1240182945	1	Let's talk with Jim-san.on HK.		sage		削除屋佐藤K	2009-04-20 08:15:45	???0	" housekeepingでの問題を管理人のJimさんとお話しするスレです。 

関連スレ 
Let's talk with Jim-san. Part13 
http://set.bbspink.com/test/read.cgi/erobbs/1238806339/l50"
1	housekeeping	1240182945	2			sage		削除屋佐藤K	2009-04-20 08:18:00	???0	" Can I delete a thread only in the thread title?  
This is the title of the thread.  

""Rape scene of a primary school student,  
Sperm have a scene in the vagina of elementary school students, And gang rape etc.. part2.""  
http://venus.bbspink.com/test/read.cgi/hneta/1227705496/l50 

スレッドのタイトルだけでスレッドを削除していいのですか？  
スレッドのタイトルはこれです。  

「小学校の学生をレイプする場面、  
小学校の学生の膣の中に精子を出している場面、輪姦など。part2。」"
2	housekeeping	1240182945	3		ΟΔΥΣΣΕΥΣ		Ga8lHqDY3g	＠Apparently admin	2009-04-20 08:30:08	???0	" >>2 
I looked at that thread, and I don't think it is really what the thread says. 
There are no links to pictures.  Don't delete it."
3	housekeeping	1240182945	4			sage		削除屋佐藤K	2009-04-20 08:55:46	???0	" You do not look well. 
http://venus.bbspink.com/test/read.cgi/hneta/1227705496/42 
http://venus.bbspink.com/test/read.cgi/hneta/1227705496/43 
http://venus.bbspink.com/test/read.cgi/hneta/1227705496/65 
http://venus.bbspink.com/test/read.cgi/hneta/1227705496/85 
http://venus.bbspink.com/test/read.cgi/hneta/1227705496/87 
http://venus.bbspink.com/test/read.cgi/hneta/1227705496/89 
http://venus.bbspink.com/test/read.cgi/hneta/1227705496/92 
http://venus.bbspink.com/test/read.cgi/hneta/1227705496/93 
http://venus.bbspink.com/test/read.cgi/hneta/1227705496/122 
http://venus.bbspink.com/test/read.cgi/hneta/1227705496/170 
http://venus.bbspink.com/test/read.cgi/hneta/1227705496/174 
These are all うふーん.  
If you are a manager, please understand it well what kind of meaning this is. 

あなたはしっかり見ていません。 
　　リンク 
これらは、すべてうふーんです。 
あなたが管理人であるならば、これがどんな意味であるかわかってください。"
4	housekeeping	1240182945	5		名無しさん＠ピンキー	sage			2009-04-20 09:25:28	7VAHyAnQ0	" ここは野次馬や通りすがりも参加可能な議論スレという認識で良いのかしら？ 
それとも削除人が問題提起して管理人が答えるスレ？"
5	housekeeping	1240182945	6		名無しさん＠ピンキー	sage			2009-04-20 09:27:25	yIt3TK8y0	" >>3 
Additional explanation to >>4 for Jim-san 

Those deleted links(>>4) contained direct U12 child pornography  
jpg & movie links, and infos where all those jpg & movie a person 
can get.  Sato-san is asking that if he could delete the thread after 
those repeated offense."
6	housekeeping	1240182945	7			sage		削除屋佐藤K	2009-04-20 09:33:15	???0	 みんなが参加でいいと思いますよ。
7	housekeeping	1240182945	8		ΟΔΥΣΣΕΥΣ		Ga8lHqDY3g	＠Apparently admin	2009-04-20 10:50:25	???0	" I understand now. 
When I click on the links, I only get this though. 
http://www.rentalcgi.com/err.htm 
The 404 page for rentalcgi.com 
Yes lets delete the thread."
8	housekeeping	1240182945	9			sage		削除屋佐藤K	2009-04-20 10:57:54	???0	 I deleted the thread now.
9	housekeeping	1240182945	10		ΟΔΥΣΣΕΥΣ		Ga8lHqDY3g	＠Apparently admin	2009-04-20 11:07:23	???0	" >>9 
乙です"
10	housekeeping	1240182945	11			age		削魔除	2009-04-20 11:30:32	???0	" Hi, Jim-san. 
I haven't seen you for a long time. 

There are a lot of things which ""a primary schoolchild / a junior high student / a high school student"" is included in in a thread title elsewhere. 

example. 
thread title 
The movie of the high school student of the girl. 

This is the movie which served a girl of a high school student a sleeping drug.  
And man is doing an indecent act. 
http://venus.bbspink.com/test/read.cgi/ascii/1198838350/437 
It is the second over there."
